Adı,Doğum Tarihi,Pozisyon,Son Takımı,Maç Sayısı,Gol Sayısı,Sarı Kart,Kırmızı Kart
Halil İbrahim Cenik,1988,F,Kahramanmaraşspor,391,99,5,
Tim Vayrynen,1993,F,Vaduz,332,99,2,
Ralph Hasenhuttl,1967,F,Greuther Fürth,385,99,4,
Andreas Weimann,1991,F,Bristol City,488,99,0,
Ziya Doğan,1961,O,Zeytinburnuspor,423,99,4,
Adailton Silva,1990,F,FC Tokyo,392,99,1,
Maureen Franco,1983,F,Sud America,237,99,2,
Carlos Luna,1982,F,Atletico Tigre,322,99,2,
Sebastian Fernandez,1985,F,Danubio,477,99,1,
Raşit Sevindir,1986,O,Kumluca Belediyespor,533,99,3,
Miku,1985,F,Real Murcia,344,99,3,
Jamie Murphy,1989,F,Ayr United,504,99,1,
Emanuele Calaio,1982,F,Salernitana,346,99,6,
Antonio Candreva,1987,O,Sampdoria,599,99,4,
Kenwyne Jones,1984,F,Atlanta United,364,99,1,
Jeremy Menez,1987,F,Reggina,546,99,7,
Uli Hoeness,1952,O,Nürnberg,315,99,0,
Elyaniv Barda,1981,F,Hapoel Beer Sheva,334,99,1,
Dirk Lottner,1972,O,MSV Duisburg,453,99,3,
